

 F
+----------------+-----+----------+-----+-----+-----+-----+----+-----+-----+
|     Phrase     |  F  | Othermax |  A  |  I  |  LR |  R  | SO |  SP |  SS |
|       use       |  58  |    39    |  39  |  9  |  25  |  32  |  11 |  25  |  33  |
|       book      |  7   |    4     |  1   |  0  |  3   |  0   |  0  |  2   |  4   |
|     argument    |  8   |    2     |  1   |  0  |  1   |  1   |  0  |  2   |  0   |
|       mind      |  6   |    5     |  1   |  1  |  0   |  5   |  2  |  1   |  2   |
|       fall      |  6   |    4     |  3   |  1  |  0   |  1   |  0  |  4   |  0   |
|   Regulations   |  6   |    4     |  4   |  0  |  0   |  0   |  0  |  0   |  1   |
|       find      |  11  |    18    |  14  |  3  |  5   |  18  |  6  |  17  |  0   |
|      equal      |  7   |    5     |  2   |  0  |  2   |  1   |  1  |  5   |  5   |
|    therefore    |  19  |    16    |  5   |  4  |  6   |  16  |  1  |  7   |  3   |
|    properties   |  9   |    5     |  5   |  0  |  0   |  1   |  0  |  0   |  3   |
|       Tax       |  7   |    12    |  12  |  3  |  4   |  2   |  0  |  7   |  3   |
|      losses     |  6   |    1     |  1   |  0  |  0   |  1   |  1  |  0   |  0   |
|     profits     |  6   |    13    |  11  |  0  |  12  |  2   |  3  |  10  |  13  |
|       Ors.      |  6   |    14    |  0   |  0  |  0   |  2   |  0  |  14  |  0   |
|     mention     |  10  |    14    |  14  |  0  |  7   |  7   |  1  |  4   |  2   |
|     October     |  6   |    14    |  14  |  1  |  2   |  2   |  0  |  0   |  1   |
|      object     |  11  |    14    |  9   |  0  |  3   |  14  |  5  |  9   |  2   |
|      Rules      |  11  |    7     |  7   |  0  |  0   |  3   |  0  |  3   |  6   |
|      event      |  10  |    6     |  6   |  1  |  1   |  3   |  1  |  1   |  1   |
|      Export     |  9   |    7     |  1   |  1  |  2   |  0   |  1  |  7   |  2   |
|      nature     |  9   |    9     |  6   |  3  |  2   |  9   |  3  |  9   |  0   |
|      apply      |  6   |    4     |  2   |  0  |  3   |  1   |  0  |  4   |  3   |
|       put       |  24  |    30    |  30  |  2  |  10  |  10  |  1  |  7   |  16  |
|       Rule      |  14  |    26    |  18  |  0  |  11  |  19  |  0  |  3   |  26  |
|        5        |  89  |   184    | 184  |  16 |  48  |  37  |  48 |  99  |  35  |
|      legal      |  7   |    10    |  7   |  0  |  10  |  4   |  3  |  3   |  2   |
|       hand      |  7   |    20    |  12  |  3  |  3   |  12  |  2  |  20  |  5   |
|      found      |  6   |    13    |  8   |  0  |  7   |  9   |  4  |  13  |  2   |
|       main      |  14  |    17    |  17  |  2  |  4   |  10  |  1  |  2   |  4   |
|      select     |  14  |    14    |  14  |  0  |  0   |  5   |  0  |  7   |  0   |
|       no.1      |  6   |    1     |  0   |  0  |  1   |  1   |  0  |  0   |  0   |
|       side      |  40  |    59    |  55  |  5  |  28  |  59  |  10 |  44  |  17  |
|        14       |  9   |    12    |  12  |  2  |  8   |  6   |  8  |  2   |  4   |
|     finding     |  7   |    14    |  7   |  3  |  4   |  8   |  5  |  14  |  0   |
|     indicate    |  7   |    4     |  3   |  2  |  4   |  3   |  0  |  0   |  0   |
|       para      |  11  |    9     |  7   |  0  |  6   |  9   |  0  |  2   |  4   |
|       1987      |  7   |    4     |  4   |  0  |  1   |  0   |  0  |  4   |  2   |
|       name      |  11  |    22    |  22  |  0  |  11  |  2   |  0  |  7   |  8   |
|      arrive     |  7   |    4     |  4   |  0  |  1   |  1   |  0  |  4   |  0   |
|        go       |  68  |    64    |  64  |  5  |  11  |  31  |  5  |  21  |  32  |
|  goods/material |  9   |    2     |  2   |  1  |  0   |  0   |  0  |  1   |  0   |
|     section     |  6   |    40    |  26  |  6  |  13  |  31  |  0  |  10  |  40  |
|       2004      |  13  |    7     |  4   |  6  |  0   |  1   |  0  |  0   |  7   |
|     provide     |  55  |    48    |  9   |  2  |  4   |  5   |  1  |  2   |  48  |
|      merit      |  11  |    13    |  13  |  0  |  0   |  6   |  0  |  6   |  0   |
|    petitioner   |  9   |    3     |  3   |  3  |  2   |  0   |  0  |  1   |  1   |
