

 F
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | F  | Othermax | A  | I  | LR | R  | SO | SP | SS |
|     Gas Tanker     | 8  |    4     | 1  | 4  | 1  | 1  | 0  | 0  | 0  |
| Appellate Tribunal | 6  |    5     | 2  | 5  | 5  | 1  | 1  | 1  | 0  |
|    Trial Judge     | 7  |    2     | 0  | 0  | 0  | 2  | 0  | 0  | 0  |
|       of law       | 9  |    31    | 7  | 4  | 3  | 3  | 8  | 31 | 1  |
|  partnership deed  | 6  |    14    | 7  | 14 | 0  | 0  | 0  | 2  | 1  |
|      the name      | 9  |    14    | 4  | 14 | 0  | 0  | 0  | 1  | 1  |
|      name of       | 6  |    9     | 3  | 9  | 0  | 0  | 0  | 1  | 1  |
|     the parent     | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|   suit premises    | 8  |    3     | 0  | 3  | 0  | 0  | 0  | 0  | 0  |
|       of Rs.       | 6  |    33    | 0  | 33 | 0  | 5  | 0  | 1  | 3  |
|      Rule 72       | 6  |    8     | 0  | 4  | 0  | 8  | 0  | 0  | 3  |
|      land in       | 7  |    10    | 1  | 10 | 0  | 2  | 0  | 1  | 0  |
|  the respondents   | 7  |    16    | 16 | 13 | 3  | 6  | 4  | 6  | 0  |
|      the road      | 9  |    7     | 3  | 7  | 1  | 1  | 0  | 0  | 0  |
|      the firm      | 7  |    17    | 5  | 17 | 0  | 0  | 0  | 1  | 6  |
| the assessee-firm  | 6  |    1     | 0  | 1  | 0  | 0  | 0  | 0  | 0  |
|       of PW        | 8  |    1     | 0  | 1  | 0  | 1  | 0  | 0  | 0  |
|  match factories   | 7  |    2     | 0  | 2  | 0  | 0  | 0  | 2  | 1  |
|     this Court     | 8  |    27    | 6  | 7  | 3  | 11 | 1  | 27 | 0  |
|     section 3      | 6  |    9     | 0  | 9  | 0  | 4  | 0  | 1  | 1  |
|     in dispute     | 6  |    6     | 3  | 6  | 1  | 1  | 0  | 0  | 0  |
|      he High       | 61 |    48    | 27 | 48 | 17 | 43 | 2  | 9  | 1  |
|     a partner      | 6  |    6     | 5  | 6  | 3  | 0  | 0  | 3  | 3  |
|    parent firm     | 8  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|       art of       | 7  |    12    | 7  | 4  | 0  | 12 | 0  | 9  | 4  |
|      is part       | 6  |    5     | 0  | 1  | 0  | 2  | 0  | 5  | 2  |
|    defendant No    | 8  |    14    | 0  | 14 | 1  | 11 | 0  | 0  | 0  |
|      able to       | 8  |    17    | 17 | 17 | 2  | 10 | 1  | 3  | 3  |
|       the A        | 26 |    64    | 29 | 64 | 16 | 45 | 1  | 15 | 41 |
|   the defendant    | 20 |    17    | 3  | 17 | 0  | 10 | 0  | 1  | 4  |
|      the part      | 33 |    34    | 17 | 34 | 2  | 16 | 3  | 5  | 11 |
|       led to       | 9  |    9     | 9  | 9  | 2  | 9  | 2  | 3  | 5  |
|      erms of       | 7  |    14    | 14 | 5  | 1  | 8  | 2  | 2  | 1  |
|       ing of       | 7  |    17    | 17 | 11 | 3  | 15 | 2  | 12 | 12 |
|   the assessee-    | 8  |    1     | 0  | 1  | 0  | 0  | 0  | 0  | 0  |
|      as also       | 7  |    8     | 8  | 7  | 0  | 2  | 1  | 7  | 0  |
|    he Division     | 12 |    6     | 6  | 1  | 2  | 4  | 0  | 0  | 0  |
+--------------------+----+----------+----+----+----+----+----+----+----+


 SO
+--------------+----+----------+----+----+---+----+----+----+----+
|    Phrase    | SO | Othermax | A  | F  | I | LR | R  | SP | SS |
+--------------+----+----------+----+----+---+----+----+----+----+
| Civil Appeal | 42 |    2     | 2  | 0  | 1 | 0  | 2  | 0  | 0  |
|  Appeal No.  | 36 |    4     | 2  | 1  | 0 | 4  | 2  | 0  | 0  |
|   of 2015,   | 22 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
| 2015, Civil  | 22 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
|   of 2017,   | 10 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
| 2017, Civil  | 9  |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
| the assessee | 7  |    28    | 17 | 12 | 7 | 28 | 9  | 5  | 5  |
| Appeal Nos.  | 6  |    1     | 0  | 0  | 0 | 1  | 0  | 0  | 0  |
|    of law    | 8  |    31    | 7  | 4  | 3 | 9  | 3  | 31 | 1  |
| question of  | 6  |    22    | 6  | 2  | 3 | 10 | 3  | 22 | 0  |
| the Tribunal | 6  |    27    | 5  | 12 | 3 | 27 | 5  | 2  | 1  |
| an investor  | 6  |    3     | 3  | 0  | 0 | 0  | 0  | 0  | 2  |
|   of fact    | 6  |    18    | 1  | 2  | 2 | 3  | 1  | 18 | 0  |
|   the fact   | 6  |    13    | 9  | 10 | 2 | 3  | 13 | 10 | 4  |
|   of 2017    | 11 |    0     | 0  | 0  | 0 | 0  | 0  | 0  | 0  |
+--------------+----+----------+----+----+---+----+----+----+----+


 R
+---------------------+----+----------+----+----+----+----+----+----+----+
|        Phrase       | R  | Othermax | A  | F  | I  | LR | SO | SP | SS |
+---------------------+----+----------+----+----+----+----+----+----+----+
|      High Court     | 51 |    62    | 33 | 57 | 23 | 62 | 2  | 13 | 3  |
|       the High      | 36 |    42    | 23 | 42 | 17 | 40 | 1  | 8  | 1  |
|    the appellant    | 34 |    65    | 13 | 65 | 3  | 12 | 1  | 3  | 0  |
|       the case      | 30 |    17    | 17 | 17 | 5  | 10 | 0  | 14 | 15 |
|       case of       | 22 |    13    | 13 | 7  | 2  | 5  | 0  | 6  | 6  |
|      the State      | 21 |    33    | 18 | 33 | 0  | 3  | 0  | 13 | 5  |
|     the Amending    | 20 |    10    | 0  | 3  | 3  | 5  | 0  | 0  | 10 |
|       the Code      | 23 |    14    | 1  | 14 | 6  | 10 | 2  | 0  | 5  |
|       the Act       | 21 |    38    | 22 | 38 | 9  | 14 | 0  | 11 | 31 |
|        In the       | 18 |    25    | 8  | 25 | 1  | 7  | 1  | 5  | 2  |
|       the suit      | 20 |    16    | 2  | 15 | 0  | 16 | 0  | 2  | 0  |
|     the auction     | 16 |    9     | 3  | 9  | 0  | 1  | 1  | 3  | 0  |
|     Amending Act    | 20 |    10    | 0  | 3  | 3  | 5  | 0  | 0  | 10 |
|        It is        | 14 |    24    | 24 | 22 | 3  | 9  | 3  | 16 | 2  |
|    Government or    | 13 |    6     | 0  | 6  | 0  | 0  | 0  | 1  | 6  |
|       the said      | 13 |    29    | 7  | 29 | 1  | 12 | 0  | 5  | 9  |
|       part of       | 12 |    9     | 7  | 4  | 0  | 6  | 0  | 9  | 4  |
|    the respondent   | 19 |    30    | 24 | 30 | 5  | 19 | 4  | 9  | 1  |
|      cannot be      | 11 |    12    | 11 | 3  | 0  | 1  | 1  | 12 | 1  |
|      set aside      | 15 |    4     | 1  | 4  | 1  | 3  | 1  | 2  | 1  |
|     the property    | 13 |    4     | 1  | 1  | 0  | 2  | 1  | 2  | 4  |
|      the decree     | 16 |    10    | 1  | 10 | 0  | 2  | 1  | 3  | 7  |
|     the judgment    | 14 |    6     | 3  | 6  | 4  | 3  | 1  | 4  | 1  |
|    the plaintiff    | 19 |    38    | 5  | 38 | 0  | 20 | 0  | 5  | 2  |
|   State Government  | 13 |    16    | 7  | 16 | 0  | 1  | 0  | 6  | 0  |
|   the preliminary   | 11 |    4     | 4  | 3  | 1  | 1  | 0  | 1  | 0  |
|  preliminary decree | 18 |    7     | 6  | 7  | 1  | 4  | 0  | 0  | 0  |
| Promotion Committee | 11 |    7     | 0  | 7  | 0  | 0  | 0  | 0  | 0  |
|      of section     | 11 |    12    | 0  | 5  | 3  | 1  | 0  | 1  | 12 |
|        may be       | 10 |    27    | 10 | 14 | 0  | 4  | 1  | 4  | 27 |
|       State of      | 10 |    13    | 5  | 12 | 0  | 2  | 0  | 13 | 4  |
|    the Government   | 10 |    16    | 16 | 16 | 1  | 1  | 3  | 13 | 11 |
|     the officer     | 13 |    1     | 1  | 1  | 0  | 0  | 0  | 1  | 1  |
|       cost of       | 14 |    8     | 8  | 3  | 0  | 5  | 0  | 1  | 5  |
|       would be      | 10 |    16    | 16 | 5  | 0  | 3  | 3  | 9  | 4  |
|       the date      | 10 |    8     | 8  | 6  | 0  | 3  | 0  | 5  | 4  |
|       order to      | 10 |    5     | 5  | 5  | 0  | 1  | 0  | 0  | 2  |
|    defendant No.    | 10 |    12    | 0  | 12 | 1  | 5  | 0  | 0  | 0  |
|      appeal is      | 9  |    4     | 2  | 3  | 2  | 4  | 0  | 1  | 0  |
|      the Court      | 12 |    10    | 4  | 2  | 0  | 6  | 3  | 10 | 6  |
|      aside the      | 9  |    5     | 0  | 5  | 1  | 3  | 0  | 1  | 1  |
|     the Section     | 10 |    1     | 0  | 1  | 0  | 0  | 0  | 1  | 0  |
|      the basis      | 9  |    21    | 6  | 21 | 1  | 3  | 1  | 4  | 3  |
|      this Court     | 11 |    27    | 6  | 7  | 3  | 8  | 1  | 27 | 0  |
|       date of       | 10 |    6     | 6  | 4  | 0  | 3  | 0  | 5  | 4  |
|     execution of    | 9  |    2     | 0  | 2  | 1  | 0  | 0  | 2  | 1  |
|      the facts      | 9  |    8     | 6  | 8  | 1  | 1  | 4  | 7  | 1  |
|      the Zonal      | 9  |    9     | 0  | 9  | 0  | 0  | 0  | 0  | 0  |
|   Zonal Promotion   | 9  |    7     | 0  | 7  | 0  | 0  | 0  | 0  | 0  |
|       the view      | 8  |    10    | 3  | 1  | 3  | 10 | 1  | 3  | 0  |
|     the learned     | 8  |    7     | 4  | 1  | 0  | 7  | 0  | 3  | 0  |
|      amended by     | 8  |    4     | 1  | 4  | 2  | 1  | 0  | 0  | 2  |
|     whether the     | 8  |    14    | 11 | 3  | 5  | 4  | 1  | 14 | 3  |
|      the right      | 9  |    8     | 8  | 1  | 0  | 5  | 1  | 3  | 1  |
|      passed by      | 8  |    6     | 3  | 6  | 5  | 0  | 1  | 0  | 0  |
|       order of      | 8  |    7     | 7  | 7  | 7  | 4  | 0  | 2  | 3  |
|   Appeal allowed.   | 8  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|      in respect     | 8  |    14    | 8  | 14 | 1  | 4  | 0  | 5  | 14 |
|      respect of     | 8  |    14    | 8  | 12 | 1  | 4  | 0  | 5  | 14 |
|       terms of      | 8  |    14    | 14 | 5  | 1  | 6  | 2  | 2  | 1  |
|       the cost      | 9  |    5     | 3  | 3  | 0  | 5  | 0  | 1  | 5  |
|       Court in      | 8  |    18    | 11 | 6  | 4  | 3  | 0  | 18 | 0  |
|        No. 2        | 9  |    15    | 1  | 15 | 1  | 5  | 5  | 0  | 0  |
|   the confidential  | 8  |    11    | 0  | 11 | 0  | 0  | 0  | 0  | 0  |
|    the Committee    | 8  |    7     | 1  | 7  | 0  | 0  | 0  | 1  | 0  |
|       The High      | 7  |    19    | 4  | 6  | 0  | 19 | 1  | 1  | 0  |
|      could not      | 7  |    11    | 9  | 11 | 1  | 8  | 0  | 4  | 0  |
|       view of       | 7  |    8     | 4  | 4  | 1  | 8  | 0  | 1  | 0  |
|  the circumstances  | 8  |    4     | 2  | 2  | 1  | 1  | 1  | 4  | 0  |
|    provisions of    | 7  |    23    | 7  | 9  | 2  | 1  | 0  | 0  | 23 |
|       of Rule       | 8  |    6     | 1  | 3  | 0  | 2  | 0  | 0  | 6  |
|       of Order      | 7  |    9     | 1  | 3  | 0  | 9  | 0  | 1  | 2  |
|      the order      | 10 |    13    | 13 | 10 | 8  | 9  | 0  | 3  | 6  |
|      the claim      | 11 |    7     | 4  | 7  | 1  | 4  | 1  | 1  | 0  |
|     judgment and    | 7  |    5     | 0  | 1  | 5  | 1  | 0  | 1  | 0  |
|       the land      | 9  |    13    | 3  | 12 | 1  | 13 | 0  | 1  | 1  |
|       basis of      | 7  |    19    | 7  | 19 | 1  | 3  | 1  | 4  | 3  |
|      the appeal     | 8  |    10    | 1  | 9  | 1  | 10 | 0  | 1  | 0  |
|       in order      | 7  |    5     | 5  | 4  | 0  | 0  | 0  | 0  | 1  |
|       the part      | 16 |    34    | 17 | 34 | 2  | 33 | 3  | 5  | 11 |
|      regard to      | 7  |    7     | 7  | 6  | 1  | 1  | 0  | 2  | 0  |
|      the final      | 7  |    7     | 7  | 3  | 1  | 0  | 0  | 0  | 1  |
|     entitled to     | 7  |    8     | 8  | 4  | 1  | 5  | 2  | 3  | 5  |
|     in execution    | 7  |    1     | 0  | 0  | 1  | 0  | 0  | 1  | 1  |
|    the aforesaid    | 7  |    12    | 9  | 12 | 0  | 0  | 0  | 7  | 0  |
|     referred to     | 6  |    11    | 4  | 11 | 2  | 0  | 0  | 5  | 9  |
|       made by       | 6  |    10    | 3  | 10 | 1  | 3  | 4  | 2  | 9  |
|      Court was      | 6  |    3     | 2  | 1  | 0  | 0  | 0  | 3  | 0  |
|       error in      | 6  |    2     | 0  | 1  | 0  | 2  | 0  | 1  | 0  |
|    is accordingly   | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|      effect of      | 6  |    4     | 1  | 4  | 2  | 0  | 2  | 4  | 2  |
|    the provisions   | 6  |    22    | 7  | 7  | 2  | 1  | 0  | 1  | 22 |
|       Code as       | 6  |    2     | 0  | 0  | 1  | 2  | 0  | 0  | 0  |
|      as amended     | 6  |    4     | 1  | 4  | 3  | 1  | 0  | 0  | 4  |
|      object of      | 6  |    4     | 4  | 0  | 0  | 1  | 1  | 3  | 0  |
|    in accordance    | 6  |    5     | 5  | 1  | 0  | 0  | 0  | 2  | 1  |
|   accordance with   | 6  |    5     | 5  | 1  | 0  | 0  | 0  | 2  | 1  |
|        We are       | 6  |    4     | 4  | 3  | 1  | 0  | 0  | 4  | 0  |
|     decision of     | 6  |    4     | 2  | 4  | 2  | 4  | 2  | 2  | 1  |
|       force in      | 6  |    2     | 2  | 2  | 0  | 1  | 1  | 1  | 1  |
|       of Uttar      | 6  |    2     | 0  | 0  | 0  | 1  | 0  | 1  | 2  |
|       Act was       | 6  |    5     | 0  | 5  | 0  | 2  | 0  | 0  | 0  |
|       Rule 72       | 8  |    6     | 0  | 4  | 0  | 6  | 0  | 0  | 3  |
|    the executing    | 6  |    3     | 0  | 3  | 0  | 2  | 0  | 1  | 0  |
|     to consider     | 7  |    10    | 1  | 1  | 0  | 4  | 1  | 10 | 0  |
|      Court and      | 6  |    2     | 2  | 0  | 0  | 0  | 1  | 0  | 0  |
|        a suit       | 6  |    6     | 0  | 6  | 1  | 0  | 0  | 1  | 4  |
|       a public      | 6  |    2     | 0  | 0  | 0  | 0  | 0  | 0  | 2  |
|      the terms      | 6  |    5     | 4  | 5  | 0  | 1  | 2  | 3  | 0  |
|    the defendants   | 8  |    19    | 1  | 16 | 0  | 19 | 0  | 0  | 0  |
|      would have     | 6  |    3     | 0  | 1  | 0  | 3  | 0  | 3  | 0  |
|       shall be      | 7  |    33    | 20 | 16 | 0  | 1  | 0  | 0  | 33 |
|      decree and     | 6  |    1     | 1  | 0  | 0  | 1  | 0  | 0  | 0  |
|       Order 34      | 7  |    2     | 2  | 0  | 0  | 0  | 0  | 0  | 1  |
|      parties to     | 6  |    2     | 0  | 2  | 0  | 0  | 0  | 0  | 0  |
|        a case       | 6  |    6     | 0  | 2  | 1  | 4  | 0  | 3  | 6  |
|      the stage      | 6  |    1     | 0  | 1  | 0  | 0  | 0  | 0  | 0  |
|      decree is      | 6  |    1     | 0  | 0  | 0  | 0  | 0  | 0  | 1  |
|  auction purchasers | 10 |    1     | 1  | 1  | 0  | 0  | 0  | 1  | 0  |
|       the year      | 7  |    33    | 7  | 33 | 0  | 1  | 1  | 1  | 4  |
|     the adverse     | 6  |    7     | 2  | 7  | 0  | 0  | 0  | 0  | 0  |
|     the assessee    | 9  |    28    | 17 | 12 | 7  | 28 | 7  | 5  | 5  |
|    the conclusion   | 6  |    8     | 5  | 5  | 1  | 6  | 2  | 8  | 0  |
|      The appeal     | 7  |    1     | 0  | 1  | 0  | 1  | 0  | 0  | 0  |
|      section 97     | 11 |    4     | 0  | 2  | 1  | 1  | 0  | 0  | 4  |
|    Uttar Pradesh    | 6  |    2     | 0  | 1  | 0  | 1  | 0  | 2  | 2  |
|        (3) of       | 7  |    3     | 3  | 2  | 0  | 2  | 0  | 0  | 2  |
|     consider the    | 7  |    2     | 0  | 0  | 0  | 2  | 0  | 2  | 0  |
|     final decree    | 8  |    7     | 7  | 2  | 2  | 2  | 0  | 0  | 5  |
|     the parties     | 7  |    5     | 3  | 5  | 0  | 2  | 1  | 1  | 1  |
|       place of      | 6  |    15    | 15 | 3  | 0  | 1  | 0  | 1  | 9  |
|       is clear      | 6  |    5     | 5  | 1  | 1  | 0  | 0  | 4  | 0  |
|    of acquisition   | 8  |    4     | 4  | 1  | 0  | 1  | 0  | 1  | 0  |
|      before us      | 6  |    13    | 13 | 3  | 2  | 0  | 0  | 2  | 0  |
|     the purpose     | 7  |    9     | 7  | 9  | 2  | 4  | 2  | 3  | 6  |
|     case (supra)    | 8  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|   the respondents   | 6  |    16    | 16 | 13 | 3  | 7  | 4  | 6  | 0  |
|       the fact      | 13 |    10    | 9  | 10 | 2  | 3  | 6  | 10 | 4  |
|        (1) of       | 6  |    10    | 5  | 9  | 1  | 5  | 0  | 1  | 10 |
|        far as       | 7  |    7     | 6  | 2  | 2  | 7  | 0  | 1  | 3  |
|         5 of        | 8  |    8     | 4  | 8  | 1  | 0  | 6  | 3  | 2  |
|  auction purchaser  | 16 |    3     | 1  | 1  | 0  | 0  | 0  | 3  | 0  |
|     nary decree     | 21 |    8     | 6  | 8  | 1  | 4  | 0  | 0  | 0  |
|    Appeal allowed   | 11 |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|    the defendant    | 10 |    20    | 3  | 17 | 0  | 20 | 0  | 1  | 4  |
|         4 of        | 8  |    5     | 5  | 5  | 1  | 0  | 2  | 0  | 4  |
|       his case      | 7  |    11    | 7  | 11 | 2  | 1  | 0  | 2  | 0  |
|      the office     | 14 |    3     | 1  | 3  | 0  | 0  | 0  | 2  | 2  |
|      the plain      | 20 |    46    | 6  | 46 | 0  | 20 | 0  | 5  | 2  |
|        ed to        | 54 |    88    | 53 | 88 | 13 | 39 | 7  | 42 | 38 |
|     defendant No    | 11 |    14    | 0  | 14 | 1  | 8  | 0  | 0  | 0  |
|        of Rs        | 6  |    33    | 0  | 33 | 0  | 6  | 0  | 1  | 3  |
|       ment of       | 27 |    42    | 26 | 34 | 3  | 13 | 6  | 16 | 42 |
|       tion of       | 68 |    78    | 60 | 78 | 16 | 40 | 13 | 59 | 43 |
|       ed with       | 13 |    12    | 9  | 12 | 0  | 8  | 0  | 5  | 6  |
|       Court a       | 8  |    6     | 2  | 6  | 2  | 6  | 2  | 3  | 0  |
|       able to       | 10 |    17    | 17 | 17 | 2  | 8  | 1  | 3  | 3  |
|        case a       | 6  |    5     | 4  | 3  | 0  | 5  | 0  | 1  | 0  |
|      the proper     | 14 |    5     | 1  | 2  | 0  | 2  | 1  | 3  | 5  |
|        . This       | 8  |    12    | 10 | 9  | 1  | 2  | 0  | 12 | 6  |
|    the provision    | 7  |    27    | 7  | 9  | 2  | 1  | 0  | 1  | 27 |
|       e facts       | 13 |    12    | 7  | 12 | 1  | 3  | 4  | 9  | 1  |
|         . We        | 9  |    10    | 10 | 4  | 1  | 2  | 1  | 7  | 1  |
+---------------------+----+----------+----+----+----+----+----+----+----+


 A
+----------------------+-----+----------+-----+----+-----+-----+----+-----+----+
|        Phrase        |  A  | Othermax |  F  | I  |  LR |  R  | SO |  SP | SS |
+----------------------+-----+----------+-----+----+-----+-----+----+-----+----+
|     the service      |  55 |    8     |  6  | 1  |  0  |  2  | 0  |  1  | 8  |
|       value of       |  27 |    16    |  15 | 5  |  4  |  1  | 1  |  8  | 16 |
|      the value       |  25 |    13    |  12 | 4  |  3  |  0  | 0  |  5  | 13 |
|      High Court      |  33 |    62    |  57 | 23 |  62 |  51 | 2  |  13 | 3  |
|       the High       |  23 |    42    |  42 | 17 |  40 |  36 | 1  |  8  | 1  |
|        It is         |  24 |    22    |  22 | 3  |  9  |  14 | 3  |  16 | 2  |
|       shall be       |  20 |    33    |  16 | 0  |  1  |  7  | 0  |  0  | 33 |
|      the State       |  18 |    33    |  33 | 0  |  3  |  21 | 0  |  13 | 5  |
|    under Section     |  16 |    8     |  8  | 6  |  3  |  5  | 0  |  5  | 4  |
|    the Government    |  16 |    16    |  16 | 1  |  1  |  10 | 3  |  13 | 11 |
|       the Act        |  22 |    38    |  38 | 9  |  14 |  21 | 0  |  11 | 31 |
|       the case       |  17 |    30    |  17 | 5  |  10 |  30 | 0  |  14 | 15 |
|       would be       |  16 |    10    |  5  | 0  |  3  |  10 | 3  |  9  | 4  |
|       terms of       |  14 |    8     |  5  | 1  |  6  |  8  | 2  |  2  | 1  |
|      the first       |  14 |    5     |  4  | 0  |  3  |  5  | 0  |  1  | 1  |
|     gross amount     |  24 |    12    |  3  | 1  |  0  |  0  | 0  |  1  | 12 |
|      the amount      |  14 |    7     |  6  | 0  |  5  |  2  | 1  |  4  | 7  |
|    for admission     |  18 |    12    |  12 | 1  |  1  |  3  | 0  |  11 | 0  |
|       the CIT        |  14 |    9     |  9  | 5  |  3  |  1  | 0  |  0  | 0  |
|        It was        |  13 |    9     |  9  | 1  |  5  |  3  | 1  |  5  | 0  |
|       case of        |  13 |    22    |  7  | 2  |  5  |  22 | 0  |  6  | 6  |
|       a person       |  13 |    6     |  2  | 0  |  0  |  1  | 0  |  3  | 6  |
|   service provider   |  24 |    6     |  0  | 1  |  0  |  0  | 0  |  0  | 6  |
|       of goods       |  21 |    5     |  1  | 1  |  0  |  0  | 0  |  0  | 5  |
|    amount charged    |  18 |    11    |  2  | 0  |  0  |  0  | 0  |  1  | 11 |
|   learned counsel    |  13 |    3     |  0  | 0  |  1  |  3  | 0  |  1  | 0  |
|        to pay        |  12 |    12    |  12 | 0  |  8  |  2  | 0  |  5  | 5  |
|  service recipient   |  22 |    3     |  3  | 1  |  0  |  0  | 0  |  0  | 0  |
|      cannot be       |  11 |    12    |  3  | 0  |  1  |  11 | 1  |  12 | 1  |
|       Court in       |  11 |    18    |  6  | 4  |  3  |  8  | 0  |  18 | 0  |
|   the respondents    |  16 |    13    |  13 | 3  |  7  |  6  | 4  |  6  | 0  |
|     the assessee     |  17 |    28    |  12 | 7  |  28 |  9  | 7  |  5  | 5  |
|     counsel for      |  10 |    2     |  1  | 0  |  1  |  2  | 0  |  0  | 0  |
|    the appellant     |  13 |    65    |  65 | 3  |  12 |  34 | 1  |  3  | 0  |
|      before us       |  13 |    6     |  3  | 2  |  0  |  6  | 0  |  2  | 0  |
|      the second      |  10 |    3     |  2  | 0  |  0  |  3  | 0  |  0  | 0  |
|      the gross       |  12 |    8     |  3  | 0  |  2  |  0  | 0  |  1  | 8  |
|     service tax      |  13 |    12    |  6  | 1  |  0  |  2  | 0  |  2  | 12 |
|      Indlaw SC       |  10 |    29    |  2  | 0  |  0  |  2  | 2  |  29 | 0  |
|      the order       |  13 |    10    |  10 | 8  |  9  |  10 | 0  |  3  | 6  |
|       place of       |  15 |    9     |  3  | 0  |  1  |  6  | 0  |  1  | 9  |
|     Section 12A      |  12 |    6     |  2  | 6  |  2  |  1  | 0  |  0  | 0  |
|       in terms       |  10 |    3     |  1  | 1  |  3  |  2  | 0  |  1  | 2  |
|      could not       |  9  |    11    |  11 | 1  |  8  |  7  | 0  |  4  | 0  |
|      held that       |  10 |    23    |  5  | 3  |  23 |  5  | 1  |  14 | 0  |
|      clear that      |  9  |    2     |  1  | 1  |  1  |  1  | 0  |  2  | 0  |
|    the aforesaid     |  9  |    12    |  12 | 0  |  0  |  7  | 0  |  7  | 0  |
|      charged by      |  10 |    6     |  0  | 1  |  0  |  0  | 0  |  0  | 6  |
|      goods and       |  9  |    4     |  3  | 0  |  0  |  0  | 0  |  1  | 4  |
|     whether the      |  11 |    14    |  3  | 5  |  4  |  8  | 1  |  14 | 3  |
|       it would       |  9  |    5     |  3  | 0  |  2  |  5  | 0  |  1  | 2  |
|     provided by      |  9  |    6     |  2  | 0  |  0  |  0  | 1  |  0  | 6  |
| entrance examination |  12 |    6     |  4  | 0  |  1  |  1  | 0  |  6  | 0  |
|   Chief Controller   |  9  |    1     |  0  | 1  |  1  |  0  | 1  |  0  | 1  |
|      Section 21      |  11 |    3     |  0  | 1  |  3  |  0  | 0  |  0  | 0  |
|      behalf of       |  8  |    3     |  3  | 0  |  1  |  0  | 0  |  0  | 0  |
|       Court of       |  8  |    14    |  14 | 6  |  7  |  4  | 1  |  2  | 1  |
|    contended that    |  8  |    4     |  4  | 2  |  0  |  1  | 1  |  0  | 1  |
|       the date       |  8  |    10    |  6  | 0  |  3  |  10 | 0  |  5  | 4  |
|     entitled to      |  8  |    7     |  4  | 1  |  5  |  7  | 2  |  3  | 5  |
|       upon the       |  8  |    8     |  8  | 1  |  4  |  0  | 3  |  6  | 1  |
|     the present      |  8  |    8     |  8  | 2  |  1  |  5  | 0  |  1  | 1  |
|      the goods       |  9  |    8     |  2  | 0  |  3  |  1  | 1  |  7  | 8  |
|      in respect      |  8  |    14    |  14 | 1  |  4  |  8  | 0  |  5  | 14 |
|      respect of      |  8  |    14    |  12 | 1  |  4  |  8  | 0  |  5  | 14 |
|      of taxable      |  8  |    8     |  2  | 0  |  0  |  0  | 0  |  0  | 8  |
|     admission to     |  8  |    8     |  8  | 0  |  1  |  3  | 0  |  5  | 0  |
|       must be        |  8  |    5     |  2  | 2  |  2  |  3  | 1  |  5  | 5  |
|     the licence      |  8  |    4     |  1  | 0  |  0  |  0  | 0  |  3  | 4  |
|     licence fee      |  8  |    1     |  1  | 0  |  0  |  0  | 0  |  1  | 0  |
|    quasi judicial    |  9  |    1     |  0  | 1  |  0  |  0  | 0  |  0  | 0  |
|      the place       |  8  |    4     |  1  | 0  |  0  |  4  | 0  |  0  | 4  |
|       basis of       |  7  |    19    |  19 | 1  |  3  |  7  | 1  |  4  | 3  |
|       is also        |  7  |    1     |  1  | 1  |  1  |  0  | 0  |  0  | 1  |
|     the accident     |  8  |    7     |  7  | 0  |  2  |  0  | 0  |  0  | 0  |
|    the respondent    |  24 |    30    |  30 | 5  |  19 |  19 | 4  |  9  | 1  |
|      person who      |  7  |    3     |  1  | 0  |  1  |  1  | 0  |  3  | 3  |
|       part of        |  7  |    12    |  4  | 0  |  6  |  12 | 0  |  9  | 4  |
|        In the        |  8  |    25    |  25 | 1  |  7  |  18 | 1  |  5  | 2  |
|    Division Bench    |  8  |    11    |  2  | 2  |  11 |  4  | 0  |  1  | 0  |
|      of Section      |  7  |    6     |  1  | 2  |  0  |  5  | 0  |  4  | 6  |
|    the provisions    |  7  |    22    |  7  | 2  |  1  |  6  | 0  |  1  | 22 |
|    provisions of     |  7  |    23    |  9  | 2  |  1  |  7  | 0  |  0  | 23 |
|      Section 67      |  9  |    3     |  1  | 1  |  0  |  0  | 0  |  0  | 3  |
|        may be        |  10 |    27    |  14 | 0  |  4  |  10 | 1  |  4  | 27 |
|       the said       |  7  |    29    |  29 | 1  |  12 |  13 | 0  |  5  | 9  |
|      liable to       |  7  |    8     |  8  | 0  |  4  |  2  | 0  |  3  | 2  |
|  notification dated  |  7  |    2     |  2  | 0  |  0  |  0  | 0  |  0  | 0  |
|     the Central      |  7  |    12    |  1  | 0  |  1  |  2  | 1  |  1  | 12 |
|   State Government   |  7  |    16    |  16 | 0  |  1  |  13 | 0  |  6  | 0  |
|   Medical Council    |  8  |    1     |  1  | 0  |  0  |  1  | 0  |  1  | 1  |
